id,VillageName
1115,Bhawari Ryt.
1116,Bijagora
1117,Mehlari Bakol
1118,Mohgaon Narajee
1119,Belkheda
1120,Mujawar Mal.
1121,Matia Doh
1122,Bhudhena
1123,Lawa Ghoghri
1124,Govindwari Mal
1125,Govindwari Ryt.
1126,Machhera
1127,Pardhan Ghoghari
1128,Junapani Ryt.
1129,Junapani Mal
1130,Donger Temni
1131,Temni Khurd
1132,Salaiya Kalan
1133,Saori
1134,Temni Kalan
1135,Gubrel
1136,Hatlewa
1137,Pathra Khokar
1138,Shankarpur
1139,Kalkot
1140,Ambamali
1141,Jhala Kuhi
1142,Palakheda
1143,Sonmau
1144,Khari
1145,Shakkar Jhiree
1146,Kalathuni
1147,Deogarh
1148,Lohangi
1149,Singpur
1150,Saroth
1151,Mahalpur
1152,Satnoor
1153,Chhabri
1154,Sohagpur
1155,Khapaniyar Sohagpur
1156,Rajada
1157,Jarond
1158,Bhortalai
1159,Badnoor
1160,Salaiya Khurd
1161,Karla Kalan
1162,Patniya
1163,Paunar
1164,Bhairopur
1165,Badiwara
1166,Bhutai
1167,Baheriya
1168,Satoti
1169,Narsala
1170,Pathrashivlal
1171,Tikari
1172,Khunajhir Khurd
1173,Tiwara Kamath
1174,Khairwada
1175,Banda Boh
1176,Narangi
1177,Pathranisf
1178,Bihdrai
1179,Bhandkhapa
1180,Dundaseoni
1181,Beesapur Kalan
1182,Goreghat
1183,Gadarwada
1184,Lendaghondi
1185,Lonia
1186,Arjunwadi
1187,Kukada Chiman
1188,Shikarpur
1189,Paunari
1190,Jaitpur Khurd
1191,Linga
1192,Devardha
1193,Khunajhir Kalan
1194,Salimeta
1195,Badgona Joshi
1196,Palamau
1197,Kodamau
1198,Bhajipani Khurd
1199,Buchnai
1200,Pathranai
1201,Sarora
1202,Chikhali Kalan
1203,Bisapur Khurd
1204,Lalgadua
1205,Anjani
1206,Simariya Kalan
1207,Gonawadi Fakeer
1208,Umariya Dalel
1209,Jam
1210,Rajoli
1211,Rajegaon
1212,Khapanear Rajegaon
1213,Kamthi
1214,Chargaon Karbal
1215,Nawegaon Udasi
1216,Mohkheda
1217,Mau
1218,Khedi
1219,Gadhmau
1220,Mardai Kalan
1221,Urdhan
1222,Ambajhiri
1223,Sillewani
1224,Banda
1225,Bhairopani
1226,Jamuniya Mal
1227,Jamuniya Badi
1228,Rangari Talab
1229,Lans
1230,Ghoghari
1231,Tinkuhi
1232,Tansara Mal
1233,Tansara Ryt.
1234,Tara
1235,Bothiya
1236,Kukadi Khapa
1237,Gwara
1238,Umariya
1239,Sirkuhi
1240,Karer
1241,Bhandar
1242,Futera Mal
1243,Futera Raiyatwari
1244,Gorakhpur
1245,Hiwara Wasudeo
1246,Ekalbihari
1247,Adwar
1248,Turki Khapa
1249,Gohjar
1250,Sarngbihari
1251,Jhiriya
1252,Pindrai Khurd
