,id,id_,score
1074771,851,809,0.875
926261,733,1215,0.875
159379,126,367,0.875
320662,254,114,0.875
159053,126,41,0.875
415005,328,1069,0.875
956332,757,998,0.875
956006,757,672,0.875
940444,745,254,0.875
463911,367,757,0.875
608385,482,101,0.875
1533432,1215,102,0.875
1117615,885,745,0.875
1259602,998,126,0.875
1116984,885,114,0.875
1088830,862,986,0.875
52499,41,757,0.875
1026224,813,218,0.875
951722,754,174,0.875
553715,438,959,0.875
553084,438,328,0.875
341203,270,463,0.857142857143
474416,375,1166,0.857142857143
248809,197,195,0.857142857143
668936,530,76,0.857142857143
725232,574,844,0.857142857143
1520187,1204,739,0.857142857143
1281103,1015,173,0.857142857143
141227,111,1145,0.857142857143
648779,514,111,0.857142857143
1194532,946,680,0.857142857143
1521554,1205,844,0.857142857143
649410,514,742,0.857142857143
1043240,826,828,0.857142857143
137500,108,1204,0.857142857143
277279,219,901,0.857142857143
1015663,804,1015,0.857142857143
707008,560,288,0.857142857143
73172,57,1238,0.857142857143
246918,195,828,0.857142857143
218710,173,384,0.857142857143
937549,742,1145,0.857142857143
136869,108,573,0.857142857143
35384,28,48,0.857142857143
60773,48,197,0.857142857143
36015,28,679,0.857142857143
61235,48,659,0.857142857143
723865,573,739,0.857142857143
1015032,804,384,0.857142857143
1438753,1140,73,0.857142857143
724601,574,213,0.857142857143
675545,535,375,0.857142857143
585207,463,901,0.857142857143
1439384,1140,704,0.857142857143
676176,535,1006,0.857142857143
249440,197,826,0.857142857143
35579,28,243,0.857142857143
270011,213,1205,0.857142857143
276648,219,270,0.857142857143
1103647,874,659,0.857142857143
35533,28,197,0.857142857143
341590,270,850,0.857142857143
642431,509,73,0.857142857143
1193901,946,49,0.857142857143
1472498,1166,1006,0.857142857143
61404,48,828,0.857142857143
1103016,874,28,0.857142857143
643062,509,704,0.857142857143
707639,560,919,0.857142857143
72541,57,607,0.857142857143
62153,49,315,0.857142857143
364647,288,1191,0.857142857143
1045615,828,679,0.857142857143
1045595,828,659,0.857142857143
249273,197,659,0.857142857143
36164,28,828,0.857142857143
868863,688,607,0.857142857143
832337,659,679,0.857142857143
1465889,1161,707,0.857142857143
1380898,1094,270,0.857142857143
669567,530,707,0.857142857143
1381529,1094,901,0.857142857143
857095,679,197,0.857142857143
1073601,850,901,0.857142857143
831901,659,243,0.857142857143
858475,680,315,0.857142857143
1465258,1161,76,0.857142857143
1563044,1238,688,0.857142857143
1160969,919,1191,0.857142857143
389695,308,999,0.842105263158
464724,368,308,0.842105263158
1185386,939,368,0.842105263158
1261677,999,939,0.842105263158
356972,282,1088,0.833333333333
1397239,1107,205,0.833333333333
103413,81,1191,0.833333333333
